# emilia_zh_0003980703  cmn->eng  source 19380ms  72 events (160ms each)
# gold transcription: 那在这个当中它的安全就是来满足这些需求的啊也就是一种很标准的一种情境下的一个需求嗯所以如果我们去看这个创意的时候因为我们也会有一些创意评分的一些工具吧那么这一个其实是得分非常高的可能大家也觉得说哎这也不是一个特别那种特别有创意的东西哈
# reference translation: In this context its security is meant to meet these needs which is a standard requirement in a typical scenario So when we look at this creativity we also have some tools for evaluating creativity This one actually scores very high Perhaps everyone also feels that well this isn't something particularly creative

 ev  src_ms final  decisions                                   asr_delta         mt_delta                      sem audio_ms
 42   11040 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT的                 creative rating                35    11920
 43   11360 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT一些                and some                        1    11940
 44   11680 False  WRITE_ASR -> WAIT                           工具                                                0    11940
 45   11840 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT吧                 tools                           8    12100
 46   12480 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT那么                So                             67    13440
 47   12640 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> READ_NEXT这                 this                           20    13840
 48   12960 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT一个                is a                            9    14020
 49   13440 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT其实                actually                       15    14320
 50   13600 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT是                 a                               1    14340
 51   14080 False  WRITE_ASR -> WAIT                           得分                                                0    14340
 52   14720 False  WRITE_ASR -> WAIT                           非常                                                0    14340
 53   14880 False  WRITE_ASR -> WAIT                           高                                                 0    14340
 54   15200 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT的                 high score                     41    15160
 55   15520 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT可能                and it might                   14    15440
 56   15680 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT大家                be                              2    15480
 57   15840 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT也                 also                           22    15920
 58   16000 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT觉得                feel                           20    16320
 59   16160 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT说                 that                            7    16460
 60   16320 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT哎                 it's                            6    16580
 61   16480 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT也                 also                           15    16880
 62   16640 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT不                 not                             1    16900
 63   16800 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT一个                a                               1    16920
 64   17440 False  WRITE_ASR -> WAIT                           特别                                                0    16920
 65   17760 False  WRITE_ASR -> WAIT                           那种                                                0    16920
 66   18400 False  WRITE_ASR -> WAIT                           特别                                                0    16920
 67   18560 False  WRITE_ASR -> WAIT                           有                                                 0    16920
 68   18880 False  WRITE_ASR -> WAIT                           创意的                                               0    16920
 69   19200 False  WRITE_ASR -> WAIT                           东西                                                0    16920
 70   19360 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT哈                 particularly creative thin     23    17380
 71   19380  True  EOS                                                                                           0    17380

# final ASR: 那在这个当中他安全就是来满足这些需求的啊也就是一种最标准的一种情境上的就是需求嗯就是如果我们去看一个创意的时候因为我们也会有一些创意评分的一些工具吧那么这一个其实是得分非常高的可能大家也觉得说哎也不一个特别那种特别有创意的东西哈
# final translation: In this case he safety is to come to meet these needs and also that is a kind standard of situation which is a need to meet and it's about if we go to see a creative time because we will also have some creative rating and some tools So this is a actually a high score and it might be also feel that it's also not a particularly creative thing
# natural_eos=True semantic_coverage=1.000 target_audio=17380ms source=19380ms ratio=0.897
